Dose in , Glaskörper:1_12.stl , 28.3414  , picoGy
Dose in , Choroidea:1_14.stl , 0  , picoGy
Dose in , Choroidea:1_16.stl , 1.89397  , nanoGy
Dose in , Netzhaut:1_18.stl , 3.23254  , nanoGy
Dose in , Fovea:1_0.stl , 0  , picoGy
Dose in , Glaskörper:1_10.stl , 1.12675  , nanoGy
Dose in , Glaskörper:1_11.stl , 2.71103  , nanoGy
Dose in , Fovea:1_1.stl , 0  , picoGy
Dose in , Netzhaut:1_19.stl , 1.51481  , nanoGy
Dose in , Choroidea:1_17.stl , 2.04869  , nanoGy
Dose in , PapilleChoroidea:1_0.stl , 0  , picoGy
Dose in , Choroidea:1_13.stl , 1.57968  , nanoGy
Dose in , Sclera:1_9.stl , 2.5457  , nanoGy
Dose in , Netzhaut:1_21.stl , 1.84222  , nanoGy
Dose in , Glaskörper:1_15.stl , 2.54024  , nanoGy
Dose in , Netzhaut:1_9.stl , 2.87468  , nanoGy
Dose in , Netzhaut:1_8.stl , 0  , picoGy
Dose in , Glaskörper:1_14.stl , 0  , picoGy
Dose in , Netzhaut:1_20.stl , 6.78686  , nanoGy
Dose in , Sclera:1_8.stl , 0  , picoGy
Dose in , Choroidea:1_12.stl , 0  , picoGy
Dose in , PapilleChoroidea:1_1.stl , 0  , picoGy
Dose in , Choroidea:1_10.stl , 342.78  , picoGy
Dose in , Netzhaut:1_22.stl , 0  , picoGy
Dose in , Glaskörper:1_16.stl , 626.753  , picoGy
Dose in , Target:1_0.stl , 3.88935  , nanoGy
Dose in , Glaskörper:1_17.stl , 454.538  , picoGy
Dose in , Netzhaut:1_23.stl , 0  , picoGy
Dose in , Choroidea:1_11.stl , 5.09192  , nanoGy
Dose in , Kammerwasser:1_3.stl , 0  , picoGy
Dose in , Choroidea:1_20.stl , 12.7567  , nanoGy
Dose in , Linse:1_7.stl , 0  , picoGy
Dose in , Sclera:1_6.stl , 472.491  , picoGy
Dose in , Applikator:1_1.stl , 1.39474  , nanoGy
Dose in , Netzhaut:1_12.stl , 0  , picoGy
Dose in , PapilleSclera:1_0.stl , 0  , picoGy
Dose in , Cornea:1_6.stl , 5.74979  , nanoGy
Dose in , Netzhaut:1_6.stl , 582.47  , picoGy
Dose in , Netzhaut:1_7.stl , 799.453  , picoGy
Dose in , Cornea:1_7.stl , 14.0051  , nanoGy
Dose in , PapilleSclera:1_1.stl , 0  , picoGy
Dose in , Netzhaut:1_13.stl , 1.55104  , nanoGy
Dose in , Applikator:1_0.stl , 2.77444  , nanoGy
Dose in , Linse:1_6.stl , 0  , picoGy
Dose in , Sclera:1_7.stl , 1.52324  , nanoGy
Dose in , Choroidea:1_21.stl , 1.70962  , nanoGy
Dose in , Kammerwasser:1_2.stl , 708.384  , picoGy
Dose in , Kammerwasser:1_0.stl , 3.34593  , nanoGy
Dose in , Choroidea:1_23.stl , 0  , picoGy
Dose in , Sclera:1_5.stl , 0  , picoGy
Dose in , Linse:1_4.stl , 1.76686  , nanoGy
Dose in , Netzhaut:1_11.stl , 4.35789  , nanoGy
Dose in , Applikator:1_2.stl , 3.86778  , nanoGy
Dose in , Glaskörper:1_19.stl , 628.709  , picoGy
Dose in , Netzhaut:1_5.stl , 0  , picoGy
Dose in , Cornea:1_5.stl , 0  , picoGy
Dose in , Cornea:1_4.stl , 4.37269  , nanoGy
Dose in , Netzhaut:1_4.stl , 2.12941  , nanoGy
Dose in , Glaskörper:1_18.stl , 701.889  , picoGy
Dose in , Applikator:1_3.stl , 241.351  , picoGy
Dose in , Netzhaut:1_10.stl , 450.121  , picoGy
Dose in , Sclera:1_4.stl , 1.65612  , nanoGy
Dose in , Linse:1_5.stl , 0  , picoGy
Dose in , Choroidea:1_22.stl , 0  , picoGy
Dose in , Kammerwasser:1_1.stl , 0  , picoGy
Dose in , Kammerwasser:1_5.stl , 0  , picoGy
Dose in , Netzhaut:1_14.stl , 0  , picoGy
Dose in , Applikator:1_7.stl , 3.44699  , nanoGy
Dose in , Linse:1_1.stl , 0  , picoGy
Dose in , Sclera:1_0.stl , 3.78523  , nanoGy
Dose in , Glaskörper:1_20.stl , 1.482  , nanoGy
Dose in , Sehnerv:1_2.stl , 0  , picoGy
Dose in , Netzhaut:1_0.stl , 538.386  , picoGy
Dose in , Cornea:1_0.stl , 1.5766  , nanoGy
Dose in , Cornea:1_1.stl , 0  , picoGy
Dose in , Netzhaut:1_1.stl , 0  , picoGy
Dose in , Glaskörper:1_21.stl , 399.195  , picoGy
Dose in , Sehnerv:1_3.stl , 0  , picoGy
Dose in , Linse:1_0.stl , 0  , picoGy
