Dose in ,Sclera:1_22.stl, 1.42843, nanoGy
Dose in ,Applikator:1_14.stl, 0, picoGy
Dose in ,Sclera:1_20.stl, 658.526, picoGy
Dose in ,Glaskörper:1_3.stl, 0, picoGy
Dose in ,Glaskörper:1_2.stl, 0, picoGy
Dose in ,Sclera:1_21.stl, 1.75122, nanoGy
Dose in ,Applikator:1_15.stl, 0, picoGy
Dose in ,PapilleNetzhaut:1_0.stl, 0, picoGy
Dose in ,Applikator:1_11.stl, 0, picoGy
Dose in ,Sclera:1_19.stl, 2.66964, nanoGy
Dose in ,Sclera:1_25.stl, 6.741, nanoGy
Dose in ,Perifovea:1_2.stl, 0, picoGy
Dose in ,Glaskörper:1_6.stl, 747.033, picoGy
Dose in ,Glaskörper:1_7.stl, 0, picoGy
Dose in ,Perifovea:1_3.stl, 0, picoGy
Dose in ,Sclera:1_24.stl, 1.51838, nanoGy
Dose in ,Sclera:1_18.stl, 1.31723, nanoGy
Dose in ,Applikator:1_10.stl, 0, picoGy
Dose in ,PapilleNetzhaut:1_1.stl, 0, picoGy
Dose in ,Applikator:1_12.stl, 46.5969, picoGy
Dose in ,PapilleNetzhaut:1_3.stl, 0, picoGy
Dose in ,Sclera:1_26.stl, 4.97118, nanoGy
Dose in ,Perifovea:1_1.stl, 0, picoGy
Dose in ,Glaskörper:1_5.stl, 823.59, picoGy
Dose in ,Glaskörper:1_4.stl, 1.73548, nanoGy
Dose in ,Perifovea:1_0.stl, 0, picoGy
Dose in ,Sclera:1_27.stl, 0, picoGy
Dose in ,PapilleNetzhaut:1_2.stl, 0, picoGy
Dose in ,Applikator:1_13.stl, 0, picoGy
Dose in ,Choroidea:1_15.stl, 8.22905, nanoGy
Dose in ,Applikator:1_8.stl, 8.8383, nanoGy
Dose in ,Netzhaut:1_27.stl, 0, picoGy
Dose in ,Glaskörper:1_13.stl, 0, picoGy
Dose in ,Glaskörper:1_12.stl, 0, picoGy
Dose in ,Netzhaut:1_26.stl, 3.54106, nanoGy
Dose in ,Applikator:1_9.stl, 0, picoGy
Dose in ,Choroidea:1_14.stl, 16.6393, nanoGy
Dose in ,Choroidea:1_16.stl, 1.09507, nanoGy
Dose in ,Netzhaut:1_18.stl, 12.6787, nanoGy
Dose in ,Netzhaut:1_24.stl, 3.21429, nanoGy
Dose in ,Fovea:1_0.stl, 0, picoGy
Dose in ,Glaskörper:1_10.stl, 754.665, picoGy
Dose in ,Glaskörper:1_11.stl, 0, picoGy
Dose in ,Fovea:1_1.stl, 0, picoGy
Dose in ,Netzhaut:1_25.stl, 1.95836, nanoGy
Dose in ,Netzhaut:1_19.stl, 1.71417, nanoGy
Dose in ,Choroidea:1_17.stl, 0, picoGy
Dose in ,PapilleChoroidea:1_0.stl, 0, picoGy
Dose in ,Choroidea:1_13.stl, 0, picoGy
Dose in ,Sclera:1_9.stl, 0, picoGy
Dose in ,Netzhaut:1_21.stl, 0, picoGy
Dose in ,Glaskörper:1_15.stl, 1.14343, nanoGy
Dose in ,Netzhaut:1_9.stl, 0, picoGy
Dose in ,Netzhaut:1_8.stl, 0, picoGy
Dose in ,Glaskörper:1_14.stl, 1.60032, nanoGy
Dose in ,Netzhaut:1_20.stl, 364.211, picoGy
Dose in ,Sclera:1_8.stl, 0, picoGy
Dose in ,Choroidea:1_12.stl, 0, picoGy
Dose in ,PapilleChoroidea:1_1.stl, 0, picoGy
Dose in ,PapilleChoroidea:1_3.stl, 0, picoGy
Dose in ,Choroidea:1_10.stl, 618.185, picoGy
Dose in ,Netzhaut:1_22.stl, 3.84361, nanoGy
Dose in ,Sehnerv:1_11.stl, 0, picoGy
Dose in ,Glaskörper:1_16.stl, 1.80746, nanoGy
Dose in ,Sehnerv:1_8.stl, 0, picoGy
Dose in ,Target:1_0.stl, 6.16517, nanoGy
Dose in ,Sehnerv:1_9.stl, 0, picoGy
Dose in ,Glaskörper:1_17.stl, 0, picoGy
Dose in ,Sehnerv:1_10.stl, 0, picoGy
Dose in ,Netzhaut:1_23.stl, 0, picoGy
Dose in ,Choroidea:1_11.stl, 0, picoGy
Dose in ,PapilleChoroidea:1_2.stl, 0, picoGy
Dose in ,Kammerwasser:1_3.stl, 2.07034, nanoGy
Dose in ,Choroidea:1_20.stl, 1.55481, nanoGy
Dose in ,Sclera:1_6.stl, 7.69049, nanoGy
Dose in ,Applikator:1_1.stl, 6.76621, nanoGy
Dose in ,Netzhaut:1_12.stl, 0, picoGy
Dose in ,PapilleSclera:1_0.stl, 0, picoGy
